Column 1,Column 2,Column 3,Column 4
Years Ended,"Dec 28, 2024","Dec 28, 2024","Dec 30, 2023"
Expected provision (benefit) at statutory federal income tax rate,( 21.0 ),%,21.0
Increase (reduction) in rate resulting from:,,,
Federal valuation allowance,93.2,,—
Goodwill impairment,2.1,,—
Share-based compensation,4.2,,34.3
Unrecognized tax benefits and settlements,1.3,,16.3
Non-U.S. income taxed at different rates,( 5.3 ),,( 60.6 )
Research and development tax credits,( 5.6 ),,( 99.0 )
Foreign derived intangible income benefit,—,,( 25.1 )
Restructuring of certain non-U.S. subsidiaries,—,,( 15.8 )
Non-deductibility of European Commission fine,—,,11.1
Other,2.7,,( 2.0 )
Effective tax rate,71.6,%,( 119.8 )
