Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
Exhibit Number,,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Incorporated by Reference,Filed or Furnished Herewith
Exhibit Number,Exhibit Description,Form,,File Number,Exhibit,Exhibit,Filing Date,Filed or Furnished Herewith
2.1,"Transaction Agreement , dated April 14, 2025, by and among Intel Corporation , Intel Americas, Inc . , Altera Corporation, and SLP VII Gryphon Aggregator , L.P.",10-Q,,000-06217,10.1,,7/24/2025,
2.2,"Amendment No. 1 to Transaction Agreement, dated August 11, 2025 .by and among Intel Corporation, Intel Americas, Inc., Altera Corporation, and SLP VII Gryphon Aggregator, L.P.",8-K,,000-06217,10.1,,8/14/2025,
3.1,"Corrected Third Restated Certificate of Incorporation of Intel Corporation, dated October 23, 2023",10-Q,,000-06217,3.1,,10/27/2023,
3.2,"Intel Corporation Bylaws, as amended and restated on November 29, 2023",8-K,,000-06217,3.2,,12/5/2023,
4.1,"Indenture dated as of March 29, 2006 between Intel Corporation and Wells Fargo Bank, National Association (as successor to Citibank N.A.) (the ""Open-Ended Indenture"")",S-3ASR,,333-132865,4.4,,3/30/2006,
4.2,"First Supplemental Indenture to Open-Ended Indenture, dated as of December 3, 2007",10-K,,000-06217,4.2.4,4.2.4,2/20/2008,
4.3,"Second Supplemental Indenture to Open-Ended Indenture for the Registrant's 1.95% Senior Notes due 2016, 3.30% Senior Notes due 2021, and 4.80% Senior Notes due 2041, dated as of September 19, 2011",8-K,,000-06217,4.01,,9/19/2011,
4.4,"Third Supplemental Indenture to Open-Ended Indenture for the Registrant's 1.35% Senior Notes due 2017, 2.70% Senior Notes due 2022, 4.00% Senior Notes due 2032, and 4.25% Senior Notes due 2042, dated as of December 11, 2012",8-K,,000-06217,4.01,,12/11/2012,
4.5,"Fourth Supplemental Indenture to Open-Ended Indenture for the Registrant's 4.25% Senior Notes due 2042, dated as of December 14, 2012",8-K,,000-06217,4.01,,12/14/2012,
4.6,"Fifth Supplemental Indenture to Open-Ended Indenture, dated as of July 29, 2015, between Intel Corporation and Wells Fargo Bank, National Association, as successor trustee",8-K,,000-06217,4.1,,7/29/2015,
4.7,"Eighth Supplemental Indenture to Open-Ended Indenture, dated as of May 19, 2016, between Intel Corporation and Wells Fargo Bank, National Association, as successor trustee",8-K,,000-06217,4.1,,5/19/2016,
4.8,"Ninth Supplemental Indenture to Open-Ended Indenture, dated as of May 11, 2017, between Intel Corporation and Wells Fargo Bank, National Association, as successor trustee",8-K,,000-06217,4.1,,5/11/2017,
4.9,"Tenth Supplemental Indenture to Open-Ended Indenture, dated as of June 16, 2017, between Intel Corporation and Wells Fargo Bank, National Association, as successor trustee",8-K,,000-06217,4.1,,6/16/2017,
4.10,"Eleventh Supplemental Indenture to Open-Ended Indenture, dated as of August 14, 2017, among Intel Corporation, Wells Fargo Bank, National Association, as successor trustee, and Elavon Financial Services DAC, UK Branch, as paying agent",8-K,,000-06217,4.1,,8/14/2017,
