Column 1,Column 2,Column 3
Item Number,Item,
Part I,,
Item 1.,Business:,
,General development of business,"Pages 3 - 5 , 18"
,Description of business,"Pages 3 - 24 , 33 , 52 , 72 - 75"
,Available information,Page 2
Item 1A.,Risk Factors,Pages 37 - 51
Item 1B.,Unresolved Staff Comments,None
Item 1C.,Cybersecurity,Page 54
Item 2.,Properties,"Pages 11 , 32"
Item 3.,Legal Proceedings,Pages 102 - 105
Item 4.,Mine Safety Disclosures,None
Part II,,
Item 5.,"Market for Registrant's Common Equity, Related Stockholder Matters, and Issuer Purchases of Equity Securities",Pages 53
Item 6.,[Reserved],
Item 7.,Management's Discussion and Analysis of Financial Condition and Results of Operations:,
,Liquidity and capital resources,Pages 29 - 32
,Results of operations,Pages 18 - 29
,Critical accounting estimates,"Pages 34 - 36 , 65 - 72"
Item 7A.,Quantitative and Qualitative Disclosures About Market Risk,Pages 33
Item 8.,Financial Statements and Supplementary Data,Pages 56 - 108
Item 9.,Changes in and Disagreements with Accountants on Accounting and Financial Disclosure,None
Item 9A.,Controls and Procedures,Page 109
Item 9B.,Other Information,
,Disclosure pursuant to Section 13(r) of the Securities Exchange Act of 1934,Page 54
Item 9C.,Disclosure Regarding Foreign Jurisdictions that Prevent Inspections,None
Part III,,
Item 10.,"Directors, Executive Officers, and Corporate Governance",Page 52 (a)
Item 11.,Executive Compensation,(a)
Item 12.,Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters,(a)
Item 13.,"Certain Relationships and Related Transactions, and Director Independence",(a)
Item 14.,Principal Accountant Fees and Services,(a)
Part IV,,
Item 15.,Exhibits and Financial Statement Schedules,"Pages 56 - 108 , 110 - 115"
Item 16.,Form 10-K Summary,None
Signatures,,Page 117
